n,test_used,statistic,p_value,mean_before,mean_after,mean_diff,std_diff,effect_size_dz,normality_p,metric,p_value_fdr_bh,significant_fdr_0_05
10,paired_t_test,0.6882472016116853,0.5086464915963442,1.7,2.1,0.4,1.837873166945363,0.2176428750330035,0.14879821985688607,PALTA8,1.0,False
10,wilcoxon,5.0,0.5625,3.6,3.7,0.1,2.1832697191750423,0.04580286124143444,0.0001854295470833017,SWMS,1.0,False
9,paired_t_test,0.5629316445393442,0.5889055081567539,132.2453777777778,146.5349,14.289522222222221,76.15234830464485,0.18764388151311473,0.0735331016751061,RVPLSD,1.0,False
10,paired_t_test,-0.5435203014308544,0.5999735463649598,115.66899999999998,102.479,-13.189999999999998,76.74127760787468,-0.17187621070627743,0.11467185570063149,MOTSDL,1.0,False
8,paired_t_test,0.5168902906024488,0.6211581015590995,0.625,1.25,0.625,3.420004177106889,0.18274831480723838,0.05039559180784826,SWMBE,1.0,False
10,wilcoxon,2.5,0.625,0.3,0.5,0.2,0.6324555320336759,0.31622776601683794,0.012278706990549835,RTIFTES,1.0,False
10,paired_t_test,-0.4164331501593414,0.6868487555158099,727.99,717.61,-10.380000000000019,78.82283651046535,-0.13168772477024296,0.9255124338645545,MOTML,1.0,False
10,paired_t_test,0.4131173152024643,0.6891896224913814,1074.6641200000001,1169.65752,94.99340000000004,727.1433455560159,0.13063916568934916,0.05946699079230008,DMSLADSD,1.0,False
10,paired_t_test,0.4120816918460671,0.6899214555798483,4.3,4.8,0.5,3.8369548110737792,0.1303116728289208,0.2623367651622457,PALTEA8,1.0,False
10,wilcoxon,4.0,0.75,1.6,0.7,-0.9,4.306326095924976,-0.2089948554643038,3.7898775415397405e-06,PALTE6,1.0,False
10,wilcoxon,4.0,0.75,1.6,0.7,-0.9,4.306326095924976,-0.2089948554643038,3.7898775415397405e-06,PALTEA6,1.0,False
10,wilcoxon,4.0,0.75,1.8,1.9,0.1,1.852925614624973,0.05396870722208658,0.0004122768678641547,SWMS6,1.0,False
10,wilcoxon,24.0,0.76953125,2440.95,2422.4,-18.55,418.0931216049043,-0.0443681061501166,0.03583759587060276,DMSMDL,1.0,False
10,wilcoxon,24.0,0.76953125,2795.9013600000003,2809.16277,13.261410000000023,626.1458897363661,0.021179425142571224,0.04339949455060564,DMSMLAD,1.0,False
10,paired_t_test,0.29038357117463154,0.7781026729899458,797.9811599999999,860.9667299999999,62.98557000000002,685.9129809523201,0.09182734800054518,0.19547637251869754,DMSL0SD,1.0,False
8,paired_t_test,0.27534028831290025,0.7910051864396367,0.875,1.25,0.375,3.8521793460696654,0.09734749249995545,0.10508505010028957,SWMTE,1.0,False
